Rank;Country;CPI_score;Number_surveys;Conf_Range_low;Conf_Range_high;Conf_Range_Difference
49;Latvia;4.7;6;4.0 ; 5.5;1.5
49;Slovakia;4.7;8;4.3; 5.2;0.9
51;South Africa;4.6;8;4.1 ; 5.1;1.0
51;Tunisia;4.6;5;3.9 ; 5.6;1.7
53;Dominica;4.5;3;3.5 ; 5.3;1.8
54;Greece;4.4;7;3.9 ; 5.0;1.1
55;Costa Rica;4.1;5;3.3 ; 4.8;1.5
55;Namibia;4.1;6;3.6 ; 4.9;1.3
57;Bulgaria;4.0;7;3.4 ; 4.8;1.4
57;El Salvador;4.0;5;3.2 ; 4.8;1.6
59;Colombia;3.9;7;3.5 ; 4.7;1.2
60;Turkey;3.8;7;3.3 ; 4.2;0.9
61;Jamaica;3.7;5;3.4 ; 4.0;0.6
61;Poland;3.7;8;3.2 ; 4.4;1.2
63;Lebanon;3.6;3;3.2 ; 3.8;0.6
63;Seychelles;3.6;3;3.2 ; 3.8;0.6
63;Thailand;3.6;9;3.2 ; 3.9;0.7
66;Belize;3.5;3;2.3 ; 4.0;1.7
66;Cuba;3.5;3;1.8 ; 4.7;2.9
66;Grenada;3.5;3;2.3 ; 4.1;1.8
69;Croatia;3.4;7;3.1 ; 3.7;0.6
70;Brazil;3.3;7;3.1 ; 3.6;0.5
70;China;3.3;9;3.0 ; 3.6;0.6
70;Egypt;3.3;6;3.0 ; 3.7;0.7
70;Ghana;3.3;6;3.0 ; 3.6;0.6
70;India;3.3;10;3.1 ; 3.6;0.5
70;Mexico;3.3;7;3.1 ; 3.4;0.3
70;Peru;3.3;5;2.8 ; 3.8;1.0
70;Saudi Arabia;3.3;3;2.2 ; 3.7;1.5
70;Senegal;3.3;5;2.8 ; 3.7;0.9
79;Burkina Faso;3.2;5;2.8 ; 3.6;0.8
79;Lesotho;3.2;5;2.9 ; 3.6;0.7
79;Moldova;3.2;7;2.7 ; 3.8;1.1
79;Morocco;3.2;6;2.8 ; 3.5;0.7
79;Trinidad and Tobago;3.2;5;2.8 ; 3.6;0.8
84;Algeria;3.1;5;2.7 ; 3.6;0.9
84;Madagascar;3.1;5;2.3 ; 3.7;1.4
84;Mauritania;3.1;4;2.1 ; 3.7;1.6
84;Panama;3.1;5;2.8 ; 3.3;0.5
84;Romania;3.1;8;3.0 ; 3.2;0.2
84;Sri Lanka;3.1;6;2.7 ; 3.5;0.8
90;Gabon;3.0;4;2.4 ; 3.3;0.9
90;Serbia;3.0;7;2.7 ; 3.3;0.6
90;Suriname;3.0;4;2.7 ; 3.3;0.6
93;Argentina;2.9;7;2.7 ; 3.2;0.5
93;Armenia;2.9;6;2.7 ; 3.0;0.3
93;Bosnia and Herzgegovina;2.9;6;2.7 ; 3.1;0.4
93;Eritrea;2.9;3;2.2 ; 3.5;1.3
93;Syria;2.9 ;3;2.3 ; 3.2;0.9
93;Tanzania;2.9;7;2.7 ; 3.1;0.4
99;Dominican Republic;2.8;5;2.4 ; 3.2;0.8
99;Georgia;2.8;6;2.5 ; 3.0;0.5
99;Mali;2.8;7;2.5 ; 3.3;0.8
99;Mongolia;2.8;5;2.3 ; 3.4;1.1
99;Mozambique;2.8;7;2.5 ; 3.0;0.5
99;Ukraine;2.8;6;2.5 ; 3.0;0.5
105;Bolivia;2.7;6;2.4 ; 3.0;0.6
105;Iran;2.7;3;2.3 ; 3.1;0.8
105;Libya;2.7 ;3;2.4 ; 3.2;0.8
105;Macedonia;2.7;6;2.6 ; 2.9;0.3
105;Malawi;2.7;7;2.5 ; 3.0;0.5
105;Uganda;2.7;7;2.4 ; 3.0;0.6
111;Albania;2.6;5;2.4 ; 2.7;0.3
111;Guatemala;2.6;5;2.3 ; 3.0;0.7
111;Kazakhstan;2.6;6;2.3 ; 2.8;0.5
111;Laos;2.6;4;2.0 ; 3.1;1.1
111;Nicaragua;2.6;6;2.4 ; 2.9;0.5
111;Paraguay;2.6;5;2.2 ; 3.3;1.1
111;Timor-Leste;2.6;3;2.3 ; 3.0;0.7
111;Viet Nam;2.6;8;2.4 ; 2.9;0.5
111;Yemen;2.6;4;2.4 ; 2.7;0.3
111;Zambia;2.6;6;2.1 ; 3.0;0.9
121;Benin;2.5;6;2.1 ; 2.9;0.8
121;Gambia;2.5;6;2.3 ; 2.8;0.5
121;Guyana;2.5;5;2.2 ; 2.6;0.4
121;Honduras;2.5;6;2.4 ; 2.7;0.3
121;Nepal;2.5;5;2.3 ; 2.9;0.6
121;Philippines;2.5;9;2.3 ; 2.8;0.5
121;Russia;2.5;8;2.3 ; 2.7;0.4
121;Rwanda;2.5;3;2.3 ; 2.6;0.3
121;Swaziland;2.5;3;2.2 ; 2.7;0.5
130;Azerbaijan;2.4;7;2.2 ; 2.6;0.4
130;Burundi;2.4;5;2.2 ; 2.6;0.4
130;Central African Republic;2.4;3;2.2 ; 2.5;0.3
130;Ethiopia;2.4;7;2.2 ; 2.6;0.4
130;Indonesia;2.4;10;2.2 ; 2.6;0.4
130;Papua New Guinea;2.4;4;2.3 ; 2.6;0.3
130;Togo;2.4;3;1.9 ; 2.6;0.7
130;Zimbabwe;2.4;7;2.0 ; 2.8;0.8
138;Cameroon;2.3;7;2.1 ; 2.5;0.4
138;Ecuador;2.3;5;2.2 ; 2.5;0.3
138;Niger;2.3;5;2.1 ; 2.6;0.5
138;Venezuela;2.3;7;2.2 ; 2.4;0.2
142;Angola;2.2;5;1.9 ; 2.4;0.5
142;Congo, Republic;2.2;4;2.2 ; 2.3;0.1
142;Kenya;2.2;7;2.0 ; 2.4;0.4
142;Kyrgyzstan;2.2;6;2.0 ; 2.6;0.6
142;Nigeria;2.2;7;2.0 ; 2.3;0.3
142;Pakistan;2.2;6;2.0 ; 2.4;0.4
142;Sierra Leone;2.2;3;2.2 ; 2.3;0.1
142;Tajikistan;2.2;6;2.0 ; 2.4;0.4
142;Turkmenistan;2.2;4;1.9 ; 2.5;0.6
151;Belarus;2.1;4;1.9 ; 2.2;0.3
151;Cambodia;2.1;6;1.9 ; 2.4;0.5
151;Côte d´Ivoire;2.1;4;2.0 ; 2.2;0.2
151;Equatorial Guinea;2.1;3;1.7 ; 2.2;0.5
151;Uzbekistan;2.1;5;1.8 ; 2.2;0.4
156;Bangladesh;2.0;6;1.7 ; 2.2;0.5
156;Chad;2.0;6;1.8 ; 2.3;0.5
156;Congo, Democratic Republic;2.0;4;1.8 ; 2.2;0.4
156;Sudan;2.0;4;1.8 ; 2.2;0.4
160;Guinea;1.9;3;1.7 ; 2.1;0.4
160;Iraq;1.9;3;1.6 ; 2.1;0.5
160;Myanmar;1.9;3;1.8 ; 2.3;0.5
163;Haiti;1.8;3;1.7 ; 1.8;0.1
